longitude,latitude,name
-123.31900, 41.65900, "SULPHUR SPRINGS                       84"
-121.53600, 40.44700, "SULPHUR WORKS  TOPHET HOT SPRINGS    199"
-120.36700, 35.90800, "TABLE MOUNTAIN (SPRING)               88"
-121.54600, 36.23400, "TASSAJARA HOT SPRINGS                144"
-116.23000, 35.87100, "TECOPA HOT SPRINGS                   118"
-117.16700, 33.55100, "TEMECULA HOT SPRINGS                 116"
-121.37500, 40.42100, "TERMINAL GEYSER                      205"
-122.81000, 38.80200, "THE GEYSERS                          214"
-119.21700, 38.22500, "THE HOT SPRINGS                      113"
-118.80200, 37.66400, "THE TUB                              167"
-120.26500, 40.58000, "TIPTON SPRINGS                        70"
-122.05300, 38.31000, "TOLENAS SPRINGS                       68"
-119.20500, 38.24500, "TRAVERTINE HOT SPRINGS               180"
-116.82900, 36.44100, "TRAVERTINE SPRINGS                    90"
-122.11000, 40.23800, "TUSCAN SPRINGS                        86"
-117.48300, 34.22800, "TYLERS BATH SPRING                    92"
-117.73600, 36.83000, "UPPER WARM SPRING                      W"
-116.42300, 32.97000, "VALLECITOS SPRING                     79"
-122.18800, 38.12500, "VALLEJO WHITE SULPHUR SPRINGS         68"
-120.82700, 38.19200, "VALLEY SPRINGS                        75"
-123.15900, 39.16600, "VICHY SPRINGS                         85"
-119.34600, 34.50200, "VICKERS HOT SPRINGS                  124"
-118.77600, 36.11700, "WARD SPRING                           70"
-118.56100, 34.60500, "WARM SPRING                           92"
-116.93100, 35.96700, "WARM SPRING                            W"
-120.40300, 41.16000, "WARM SPRING                           70"
-120.52100, 41.25200, "WARM SPRING                           75"
-120.93600, 41.95900, "WARM SPRING                            W"
-119.11800, 38.20300, "WARM SPRING                           77"
-118.78300, 35.14800, "WARM SPRING                            W"
-117.17300, 34.34000, "WARM SPRING  HOT SPRING              108"
-117.21700, 36.12200, "WARM SULPHUR SPRINGS                  80"
-116.63100, 33.28400, "WARNER HOT SPRING                    138"
-120.25700, 40.35500, "WENDEL HOT SPRINGS                   205"
-120.38300, 41.19000, "WEST VALLEY RESERVOIR HOT SPRING     171"
-119.29100, 34.50700, "WHEELER SPRINGS                      102"
-118.34800, 33.73100, "WHITES POINT HOT SPRINGS             115"
-118.80800, 37.63000, "WHITMORE HOT SPRINGS                  95"
-122.42100, 39.03900, "WILBUR SPRINGS                       153"
-119.04400, 34.58200, "WILLETT HOT SPRINGS                  108"
-115.58000, 33.21700, "WISTER MUD POT                       100"
